time,steering
1627339862.234379292,-41.252961249
1627339862.266684771,-41.367552808
1627339862.299803257,-41.482144367
1627339862.334782124,-41.596735926
1627339862.368081093,-41.596735926
1627339862.400397301,-41.596735926
1627339862.435162306,-41.596735926
1627339862.469470024,-41.596735926
1627339862.500742197,-41.596735926
1627339862.535002947,-41.596735926
1627339862.570006847,-41.596735926
1627339862.601408958,-41.596735926
1627339862.635587931,-41.596735926
1627339862.668350935,-41.367552808
1627339862.701687813,-41.195665470
1627339862.735944033,-41.081073911
1627339862.769297600,-41.081073911
1627339862.802964926,-41.081073911
1627339862.836294413,-41.081073911
1627339862.869688511,-40.966482352
1627339862.903588057,-40.851890793
1627339862.936973810,-40.680003454
1627339862.971343756,-40.164341439
1627339863.003420353,-39.763270982
1627339863.038115501,-38.846538510
1627339863.071413994,-37.872510258
1627339863.104727268,-37.070369345
1627339863.138804436,-35.981749534
1627339863.172075510,-35.179608621
1627339863.204268694,-34.148284590
1627339863.239138842,-33.346143677
1627339863.272448540,-33.059664779
1627339863.304939032,-32.887777441
1627339863.339579105,-32.887777441
1627339863.373005152,-32.945073220
1627339863.405400753,-32.945073220
1627339863.440038919,-32.945073220
1627339863.473469734,-32.945073220
1627339863.505942822,-32.945073220
1627339863.539959192,-32.945073220
1627339863.573969841,-32.945073220
1627339863.607125998,-32.945073220
1627339863.641309738,-32.945073220
1627339863.674541712,-32.945073220
1627339863.707443714,-32.945073220
1627339863.740807533,-32.945073220
1627339863.774749279,-33.288847897
1627339863.808109999,-33.575326795
1627339863.842364311,-34.148284590
1627339863.876298666,-34.549355046
1627339863.908545494,-34.778538164
1627339863.942025900,-34.950425503
1627339863.975775480,-35.065017062
1627339864.007896185,-35.065017062
1627339864.042633772,-35.065017062
1627339864.075808287,-35.065017062
1627339864.108258486,-35.179608621
1627339864.142049074,-35.179608621
1627339864.175374746,-35.294200180
1627339864.208757639,-35.351495960
1627339864.243572474,-35.752566416
1627339864.276904106,-36.096341093
1627339864.309031010,-36.497411550
1627339864.342741489,-36.783890447
1627339864.376194239,-36.783890447
1627339864.409547806,-36.669298888
1627339864.443662167,-36.669298888
1627339864.476711988,-36.669298888
1627339864.510277748,-36.669298888
1627339864.545003653,-36.669298888
1627339864.578218222,-36.669298888
1627339864.610791683,-36.669298888
1627339864.644265890,-36.669298888
1627339864.678529263,-36.669298888
1627339864.711141348,-36.669298888
1627339864.745667934,-36.669298888
1627339864.779344797,-36.669298888
1627339864.812036753,-36.669298888
1627339864.846361637,-36.898482006
1627339864.878665924,-37.471439802
1627339864.911813974,-38.044397597
1627339864.946692467,-39.075721628
1627339864.978921413,-39.992454100
1627339865.013003588,-40.680003454
1627339865.046968222,-41.596735926
1627339865.080549717,-42.398876840
1627339865.113756180,-42.799947296
1627339865.148181438,-43.372905091
1627339865.181981802,-43.888567107
1627339865.214163780,-44.175046005
1627339865.248485088,-44.576116461
1627339865.281564236,-44.748003800
1627339865.314673901,-44.977186918
1627339865.348958492,-45.149074256
1627339865.382196426,-45.492848933
1627339865.414995670,-45.951215169
1627339865.449326992,-46.581468744
1627339865.481476307,-47.097130760
1627339865.515450239,-47.670088555
1627339865.549635649,-47.899271673
1627339865.583188295,-47.956567452
1627339865.615051985,-47.956567452
1627339865.649981260,-47.956567452
1627339865.682320595,-47.956567452
