time,pos_x,pos_y,twist_x,twist_y,twist_z
1627328901.923635244,0.000000000,0.000000000,11.474500000,-3.623100000,0.000000000
1627328901.967619181,0.000000000,0.000000000,11.480100000,-3.612900000,0.000000000
1627328901.967631817,0.000000000,0.000000000,11.483400000,-3.602900000,0.000000000
1627328901.967640162,0.000000000,0.000000000,11.486900000,-3.594100000,0.000000000
1627328901.967652559,0.000000000,0.000000000,11.490900000,-3.586200000,0.000000000
1627328902.011600256,0.000000000,0.000000000,11.495400000,-3.575400000,0.000000000
1627328902.011613131,0.000000000,0.000000000,11.501300000,-3.566300000,0.000000000
1627328902.011636019,0.000000000,0.000000000,11.504300000,-3.556700000,0.000000000
1627328902.011647224,0.000000000,0.000000000,11.508000000,-3.546400000,0.000000000
1627328902.011656046,0.000000000,0.000000000,11.512300000,-3.537600000,0.000000000
1627328902.055616856,0.000000000,0.000000000,11.516000000,-3.528400000,0.000000000
1627328902.055634022,0.000000000,0.000000000,11.520300000,-3.520300000,0.000000000
1627328902.055646181,0.000000000,0.000000000,11.524200000,-3.513500000,0.000000000
1627328902.055660248,0.000000000,0.000000000,11.526400000,-3.506500000,0.000000000
1627328902.060722828,0.000000000,0.000000000,11.530300000,-3.497700000,0.000000000
1627328902.070678949,0.000000000,0.000000000,11.533100000,-3.490500000,0.000000000
1627328902.111604214,0.000000000,0.000000000,11.535900000,-3.484100000,0.000000000
1627328902.111619711,0.000000000,0.000000000,11.539600000,-3.476500000,0.000000000
1627328902.111630440,0.000000000,0.000000000,11.542300000,-3.469600000,0.000000000
1627328902.111643314,0.000000000,0.000000000,11.545300000,-3.462600000,0.000000000
1627328902.155606747,0.000000000,0.000000000,11.546600000,-3.453500000,0.000000000
1627328902.155618668,0.000000000,0.000000000,11.549500000,-3.445500000,0.000000000
1627328902.155627489,0.000000000,0.000000000,11.553300000,-3.438600000,0.000000000
1627328902.155638456,0.000000000,0.000000000,11.556100000,-3.429600000,0.000000000
1627328902.199589252,0.000000000,0.000000000,11.559000000,-3.422200000,0.000000000
1627328902.199620724,0.000000000,0.000000000,11.562200000,-3.414400000,0.000000000
1627328902.199633837,0.000000000,0.000000000,11.563100000,-3.404800000,0.000000000
1627328902.199645758,0.000000000,0.000000000,11.564800000,-3.396300000,0.000000000
1627328902.243618488,0.000000000,0.000000000,11.566100000,-3.390700000,0.000000000
1627328902.243656874,0.000000000,0.000000000,11.567400000,-3.383200000,0.000000000
1627328902.243669748,0.000000000,0.000000000,11.570200000,-3.373900000,0.000000000
1627328902.243678808,0.000000000,0.000000000,11.572000000,-3.365000000,0.000000000
1627328902.243688822,0.000000000,0.000000000,11.573300000,-3.354700000,0.000000000
